Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2885409,Texas Instruments Inc,TXN,0.29%,Semiconductors,US,---,"$6,095,955,919.67","28,739,597"
,2090571,Verizon Communications Inc,VZ,0.29%,Integrated Telecommunication Services,US,---,"$6,018,594,560.74","120,035,791"
,2270726,Walt Disney Co/The,DIS,0.29%,Movies & Entertainment,US,---,"$5,988,453,757.44","56,473,536"
,2297907,Citigroup Inc,C,0.28%,Diversified Banks,US,---,"$5,884,486,046.34","53,403,086"
,2463247,Intel Corp,INTC,0.28%,Semiconductors,US,---,"$5,848,784,803.83","128,234,703"
,2369174,Gilead Sciences Inc,GILD,0.28%,Biotechnology,US,---,"$5,845,495,086.00","39,244,680"
,2989301,TJX Cos Inc/The,TJX,0.27%,Apparel Retail,US,---,"$5,690,353,109.92","35,199,512"
,2145084,Amphenol Corp,APH,0.27%,Electronic Components,US,---,"$5,654,700,046.72","38,714,912"
,2871301,Intuitive Surgical Inc,ISRG,0.27%,Health Care Equipment,US,---,"$5,645,814,328.14","11,212,914"
,2108601,Boeing Co/The,BA,0.27%,Aerospace & Defense,US,---,"$5,635,823,675.05","24,769,585"
,2310525,Salesforce Inc,CRM,0.27%,Application Software,US,---,"$5,572,199,944.89","28,606,191"
,2032067,Analog Devices Inc,ADI,0.26%,Semiconductors,US,---,"$5,510,110,835.25","15,486,975"
,2261203,Deere & Co,DE,0.24%,Agricultural & Farm Machinery,US,---,"$5,115,373,619.80","8,123,380"
,2779397,Charles Schwab Corp/The,SCHW,0.24%,Investment Banking & Brokerage,US,---,"$5,082,991,418.40","53,392,767"
,2684703,Pfizer Inc,PFE,0.24%,Pharmaceuticals,US,---,"$4,972,417,814.35","179,834,279"
,2914734,Union Pacific Corp,UNP,0.24%,Rail Transportation,US,---,"$4,971,716,927.76","18,762,612"
,BK6N347,Uber Technologies Inc,UBER,0.24%,Passenger Ground Transportation,US,---,"$4,956,776,921.88","65,722,314"
,2020459,Honeywell International Inc,HON,0.23%,Industrial Conglomerates,US,---,"$4,890,857,020.06","20,078,234"
,2714923,QUALCOMM Inc,QCOM,0.23%,Semiconductors,US,---,"$4,822,662,810.80","33,876,530"
,2522096,Lockheed Martin Corp,LMT,0.23%,Aerospace & Defense,US,---,"$4,816,443,428.64","7,318,933"
,2026082,American Express Co,AXP,0.22%,Consumer Finance,US,---,"$4,710,748,476.40","15,250,076"
,BMZBBT7,Blackrock Inc,BLK,0.22%,Asset Management & Custody Banks,US,---,"$4,696,590,993.78","4,417,286"
