Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2277880,Universal Display Corp,OLED,<0.01%,Semiconductors,US,---,"$152,571,180.98","1,430,042"
,BDG22J3,Valvoline Inc,VVV,<0.01%,Automotive Retail,US,---,"$152,319,711.60","4,029,622"
,2144047,Mercury Systems Inc,MRCY,<0.01%,Aerospace & Defense,US,---,"$151,964,416.70","1,706,890"
,BFV4XW8,Energy Fuels Inc/Canada,UUUU,<0.01%,Coal & Consumable Fuels,US,---,"$151,711,947.40","7,115,945"
,2889876,Thor Industries Inc,THO,<0.01%,Automobile Manufacturers,US,---,"$151,332,844.76","1,574,252"
,BF2GC59,Magnolia Oil & Gas Corp,MGY,<0.01%,Oil & Gas Exploration & Production,US,---,"$151,177,329.68","5,434,124"
,2933632,Vornado Realty Trust,VNO,<0.01%,Office REITs,US,---,"$150,872,418.48","5,470,356"
,BQLSDK5,Kodiak Gas Services Inc,KGS,<0.01%,Oil & Gas Equipment & Services,US,---,"$149,715,196.08","2,743,544"
,BK6TM04,TransMedics Group Inc,TMDX,<0.01%,Health Care Equipment,US,---,"$148,941,324.18","1,025,343"
,B15RZR4,Mueller Water Products Inc,MWA,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$148,776,223.58","4,970,806"
,BGK38H3,Axos Financial Inc,AX,<0.01%,Regional Banks,US,---,"$148,697,655.84","1,712,712"
,B6T0518,Post Holdings Inc,POST,<0.01%,Packaged Foods & Meats,US,---,"$148,596,025.90","1,397,893"
,BDH6M05,Celcuity Inc,CELC,<0.01%,Biotechnology,US,---,"$148,388,191.14","1,328,334"
,BFXCLC6,Elastic NV,ESTC,<0.01%,Application Software,US,---,"$148,184,555.04","2,845,872"
,2173911,Radian Group Inc,RDN,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$148,163,292.00","4,292,100"
,2930774,Vicor Corp,VICR,<0.01%,Electrical Components & Equipment,US,---,"$148,098,483.00","735,345"
,B07LST0,ExlService Holdings Inc,EXLS,<0.01%,Data Processing & Outsourced Services,US,---,"$148,064,781.25","4,738,073"
,BZBZ020,Herc Holdings Inc,HRI,<0.01%,Trading Companies & Distributors,US,---,"$147,416,942.40","1,054,560"
,BNNTGJ5,Bath & Body Works Inc,BBWI,<0.01%,Other Specialty Retail,US,---,"$147,038,089.48","6,460,373"
,BKM4N88,Paylocity Holding Corp,PCTY,<0.01%,Human Resource & Employment Services,US,---,"$146,374,019.17","1,374,533"
,B9HHD96,HA Sustainable Infrastructure Capital Inc,HASI,<0.01%,Specialized Finance,US,---,"$145,658,194.00","3,988,450"
,2111579,OSI Systems Inc,OSIS,<0.01%,Electronic Equipment & Instruments,US,---,"$145,432,036.00","509,930"
,2004185,Abercrombie & Fitch Co,ANF,<0.01%,Apparel Retail,US,---,"$145,385,176.80","1,486,556"
,2580555,Merit Medical Systems Inc,MMSI,<0.01%,Health Care Supplies,US,---,"$144,906,916.42","1,877,519"
,B828K63,TG Therapeutics Inc,TGTX,<0.01%,Biotechnology,US,---,"$144,225,371.97","4,793,133"
,BMXYT16,Travel + Leisure Co,TNL,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$144,145,334.30","1,955,839"
,B8XXZP1,EPR Properties,EPR,<0.01%,Other Specialized REITs,US,---,"$143,559,749.84","2,416,424"
,2117232,Boyd Gaming Corp,BYD,<0.01%,Casinos & Gaming,US,---,"$142,780,981.77","1,715,499"
,2611206,Murphy Oil Corp,MUR,<0.01%,Oil & Gas Exploration & Production,US,---,"$142,567,542.00","4,300,680"
,2069128,Badger Meter Inc,BMI,<0.01%,Electronic Equipment & Instruments,US,---,"$142,345,993.35","933,845"
,2787022,Cavco Industries Inc,CVCO,<0.01%,Homebuilding,US,---,"$142,232,823.18","246,393"
,B3F1XM1,Grand Canyon Education Inc,LOPE,<0.01%,Education Services,US,---,"$141,804,542.20","891,460"
,B0T7Z62,Crocs Inc,CROX,<0.01%,Footwear,US,---,"$141,663,711.91","1,561,721"
,BP0VMC3,U-Haul Holding Co,UHAL/B,<0.01%,Cargo Ground Transportation,US,---,"$141,296,830.56","2,996,116"
,2483074,Trex Co Inc,TREX,<0.01%,Building Products,US,---,"$141,184,584.78","3,408,609"
,BMBK002,California Resources Corp,CRC,<0.01%,Oil & Gas Exploration & Production,US,---,"$140,983,582.00","2,396,050"
,2547323,MDU Resources Group Inc,MDU,<0.01%,Gas Utilities,US,---,"$140,707,754.00","6,804,050"
,B19FQ48,Amicus Therapeutics Inc,FOLD,<0.01%,Biotechnology,US,---,"$140,493,032.73","9,776,829"
,BD978B9,IES Holdings Inc,IESC,<0.01%,Construction & Engineering,US,---,"$140,349,496.90","283,334"
,BL6K237,Circle Internet Group Inc,CRCL,<0.01%,Application Software,US,---,"$139,930,715.68","1,677,022"
,BN4LSB6,Allegro MicroSystems Inc,ALGM,<0.01%,Semiconductors,US,---,"$139,391,950.53","3,822,099"
,BLG38Q1,Moelis & Co,MC,<0.01%,Investment Banking & Brokerage,US,---,"$139,147,022.56","2,344,121"
,BF2X272,Warrior Met Coal Inc,HCC,<0.01%,Steel,US,---,"$139,119,261.72","1,671,303"
,2001119,AAR Corp,AIR,<0.01%,Aerospace & Defense,US,---,"$139,016,463.67","1,186,451"
,BL96T19,Opendoor Technologies Inc,OPEN,<0.01%,Real Estate Services,US,---,"$138,824,687.62","25,613,411"
,BMD02L5,UiPath Inc,PATH,<0.01%,Systems Software,US,---,"$138,404,799.99","12,898,863"
,2977209,Texas Capital Bancshares Inc,TCBI,<0.01%,Regional Banks,US,---,"$138,309,461.80","1,451,306"
,BMZLFJ5,Amentum Holdings Inc,AMTM,<0.01%,Research & Consulting Services,US,---,"$138,050,298.48","4,621,704"
,BTFK8V4,Outfront Media Inc,OUT,<0.01%,Other Specialized REITs,US,---,"$138,038,678.26","4,791,346"
,2055718,Associated Banc-Corp,ASB,<0.01%,Regional Banks,US,---,"$137,714,945.00","5,214,500"
,2923741,Sensient Technologies Corp,SXT,<0.01%,Specialty Chemicals,US,---,"$137,392,528.13","1,353,221"
,2960384,Whirlpool Corp,WHR,<0.01%,Household Appliances,US,---,"$137,245,945.20","2,005,640"
,BSNMNQ5,Paramount Skydance Corp,PSKY,<0.01%,Broadcasting,US,---,"$137,001,978.33","10,140,783"
,BDCWFT8,Liberty Energy Inc,LBRT,<0.01%,Oil & Gas Equipment & Services,US,---,"$136,879,957.63","4,872,907"
,BG0T321,Dropbox Inc,DBX,<0.01%,Application Software,US,---,"$136,862,408.13","5,476,687"
,B03PGL4,Northwestern Energy Group Inc,NWE,<0.01%,Multi-Utilities,US,---,"$136,308,664.80","1,948,380"
,BNXKSK3,Ryan Specialty Holdings Inc,RYAN,<0.01%,Insurance Brokers,US,---,"$136,246,895.95","3,462,437"
,BYT4ST5,IRhythm Holdings Inc,IRTC,<0.01%,Health Care Equipment,US,---,"$135,901,770.00","1,016,088"
,2471949,Itron Inc,ITRI,<0.01%,Electronic Equipment & Instruments,US,---,"$135,817,690.10","1,445,638"
,2874582,Tanger Inc,SKT,<0.01%,Retail REITs,US,---,"$135,458,228.36","3,655,106"
,2616137,Bruker Corp,BRKR,<0.01%,Life Sciences Tools & Services,US,---,"$135,129,025.71","3,368,961"
,BLD30T1,Clear Secure Inc,YOU,<0.01%,Application Software,US,---,"$135,071,237.12","2,776,958"
,BMDJ0C9,Terns Pharmaceuticals Inc,TERN,<0.01%,Pharmaceuticals,US,---,"$134,732,360.88","3,198,774"
,B7MJWP2,Bright Horizons Family Solutions Inc,BFAM,<0.01%,Education Services,US,---,"$134,698,104.36","1,807,543"
,BMH0MP5,ServisFirst Bancshares Inc,SFBS,<0.01%,Regional Banks,US,---,"$134,622,255.98","1,661,798"
,BP7L1B8,SentinelOne Inc,S,<0.01%,Systems Software,US,---,"$134,086,295.04","10,219,992"
,BT6MM39,Flagstar Bank NA,FLG,<0.01%,Regional Banks,US,---,"$134,049,672.90","10,563,410"
,BMXL9H3,Eastern Bankshares Inc,EBC,<0.01%,Regional Banks,US,---,"$133,595,289.00","6,830,025"
,BDTZZG7,Science Applications International Corp,SAIC,<0.01%,Research & Consulting Services,US,---,"$133,404,269.60","1,445,960"
,B3CLS18,MYR Group Inc,MYRG,<0.01%,Construction & Engineering,US,---,"$133,318,396.20","493,845"
,2855855,Asbury Automotive Group Inc,ABG,<0.01%,Automotive Retail,US,---,"$133,197,339.24","623,058"
,BDD19F8,Crinetics Pharmaceuticals Inc,CRNX,<0.01%,Pharmaceuticals,US,---,"$133,048,344.60","3,237,186"
,2814210,SkyWest Inc,SKYW,<0.01%,Passenger Airlines,US,---,"$132,710,846.80","1,275,085"
,2933438,Urban Outfitters Inc,URBN,<0.01%,Apparel Retail,US,---,"$131,530,860.20","1,986,871"
,BF0SR29,Hamilton Lane Inc,HLNE,<0.01%,Asset Management & Custody Banks,US,---,"$131,226,840.36","1,250,494"
,B081VR8,Morningstar Inc,MORN,<0.01%,Financial Exchanges & Data,US,---,"$130,559,224.02","712,893"
,BS7K7M9,Freshpet Inc,FRPT,<0.01%,Packaged Foods & Meats,US,---,"$130,311,417.00","1,543,060"
,2809324,Silgan Holdings Inc,SLGN,<0.01%,"Metal, Glass & Plastic Containers",US,---,"$130,235,392.70","2,710,414"
,2018669,Maximus Inc,MMS,<0.01%,Data Processing & Outsourced Services,US,---,"$130,081,031.81","1,720,421"
,B6YR5K3,Telephone and Data Systems Inc,TDS,<0.01%,Wireless Telecommunication Services,US,---,"$130,005,910.00","2,905,160"
,B01ZP20,Westlake Corp,WLK,<0.01%,Commodity Chemicals,US,---,"$129,981,804.04","1,233,458"
,2121352,Group 1 Automotive Inc,GPI,<0.01%,Automotive Retail,US,---,"$129,667,321.80","398,070"
,2889155,ACI Worldwide Inc,ACIW,<0.01%,Application Software,US,---,"$129,561,866.24","3,265,168"
,2675860,Pegasystems Inc,PEGA,<0.01%,Application Software,US,---,"$129,208,506.24","2,954,688"
,2067672,AZZ Inc,AZZ,<0.01%,Building Products,US,---,"$128,822,284.76","947,362"
,2246288,Federated Hermes Inc,FHI,<0.01%,Asset Management & Custody Banks,US,---,"$128,803,788.57","2,299,657"
,B04NJM9,Dolby Laboratories Inc,DLB,<0.01%,Systems Software,US,---,"$128,583,416.64","1,931,552"
,BQWS627,Sirius XM Holdings Inc,SIRI,<0.01%,Cable & Satellite,US,---,"$128,441,822.04","5,848,899"
,BRBCSP4,CG oncology Inc,CGON,<0.01%,Biotechnology,US,---,"$128,328,942.00","2,182,465"
,2162500,Cabot Corp,CBT,<0.01%,Commodity Chemicals,US,---,"$128,149,863.48","1,683,082"
,BYMYT66,Laureate Education Inc,LAUR,<0.01%,Education Services,US,---,"$128,046,187.50","3,959,375"
,BPGN2Q7,ServiceTitan Inc,TTAN,<0.01%,Application Software,US,---,"$127,897,348.98","1,766,782"
,BMX6JW3,JFrog Ltd,FROG,<0.01%,Systems Software,US,---,"$127,618,501.45","3,178,543"
,2092942,PriceSmart Inc,PSMT,<0.01%,Consumer Staples Merchandise Retail,US,---,"$127,535,059.98","824,829"
,BN7K304,Academy Sports & Outdoors Inc,ASO,<0.01%,Other Specialty Retail,US,---,"$127,298,637.41","2,117,057"
,B2PFJR3,Dana Inc,DAN,<0.01%,Automotive Parts & Equipment,US,---,"$127,156,848.32","3,713,693"
,BR1Z682,Core Natural Resources Inc,CNR,<0.01%,Coal & Consumable Fuels,US,---,"$127,094,888.16","1,548,427"
,2966876,Rush Enterprises Inc,RUSHA,<0.01%,Trading Companies & Distributors,US,---,"$127,061,849.20","1,790,360"
,2769978,Kadant Inc,KAI,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$126,885,192.85","374,105"
,BKDS4H5,BILL Holdings Inc,BILL,<0.01%,Application Software,US,---,"$126,839,701.90","2,849,690"
,BJDX8Y8,Mirum Pharmaceuticals Inc,MIRM,<0.01%,Biotechnology,US,---,"$126,629,909.23","1,372,087"
,BLGJ610,Warner Music Group Corp,WMG,<0.01%,Movies & Entertainment,US,---,"$125,635,567.20","4,392,852"
,BMHVDS8,Archer Aviation Inc,ACHR,<0.01%,Aerospace & Defense,US,---,"$124,792,830.96","17,527,083"
,2447821,Independent Bank Corp,INDB,<0.01%,Regional Banks,US,---,"$124,285,332.11","1,591,973"
,BFWCP81,ADT Inc,ADT,<0.01%,Specialized Consumer Services,US,---,"$124,206,493.88","15,487,094"
,2862156,United Community Banks Inc/GA,UCB,<0.01%,Regional Banks,US,---,"$123,923,118.61","3,852,133"
,BCRYTK1,Independence Realty Trust Inc,IRT,<0.01%,Multi-Family Residential REITs,US,---,"$123,903,798.86","7,477,598"
,BSLSTH8,Life360 Inc,LIF,<0.01%,Application Software,US,---,"$123,892,505.10","2,353,134"
,2567655,MSC Industrial Direct Co Inc,MSM,<0.01%,Trading Companies & Distributors,US,---,"$123,560,441.76","1,316,714"
,2673154,Patrick Industries Inc,PATK,<0.01%,Automotive Parts & Equipment,US,---,"$123,425,067.08","997,052"
,BJP0MF6,Cousins Properties Inc,CUZ,<0.01%,Office REITs,US,---,"$123,089,679.48","5,314,753"
,BYN7H48,Appfolio Inc,APPF,<0.01%,Application Software,US,---,"$122,697,595.68","690,243"
,BFYVKR0,Victory Capital Holdings Inc,VCTR,<0.01%,Asset Management & Custody Banks,US,---,"$122,694,742.44","1,773,558"
,BFZQ0L8,Scholar Rock Holding Corp,SRRK,<0.01%,Biotechnology,US,---,"$122,692,002.96","2,771,448"
,2105505,H&R Block Inc,HRB,<0.01%,Specialized Consumer Services,US,---,"$122,276,070.80","3,993,340"
,B3SKZK7,Americold Realty Trust Inc,COLD,<0.01%,Industrial REITs,US,---,"$122,040,972.43","9,114,337"
,2117726,Brady Corp,BRC,<0.01%,Commercial Printing,US,---,"$122,023,524.06","1,321,459"
,BDVPZV0,Peabody Energy Corp,BTU,<0.01%,Coal & Consumable Fuels,US,---,"$121,893,079.56","3,864,714"
,BNC23Q1,DigitalOcean Holdings Inc,DOCN,<0.01%,Internet Services & Infrastructure,US,---,"$121,478,544.28","2,166,938"
,BMCM6P4,Duolingo Inc,DUOL,<0.01%,Education Services,US,---,"$121,373,013.00","1,201,713"
,2266026,First Financial Bankshares Inc,FFIN,<0.01%,Regional Banks,US,---,"$120,112,572.24","3,883,368"
,2626125,National Health Investors Inc,NHI,<0.01%,Health Care REITs,US,---,"$120,082,477.41","1,428,363"
,BMHWY55,Avient Corp,AVNT,<0.01%,Specialty Chemicals,US,---,"$119,750,879.25","2,915,775"
,B142B38,Commvault Systems Inc,CVLT,<0.01%,Systems Software,US,---,"$119,680,759.80","1,406,685"
,B3CTNK6,Signet Jewelers Ltd,SIG,<0.01%,Other Specialty Retail,US,---,"$119,630,829.67","1,243,693"
,2350383,Franklin Electric Co Inc,FELE,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$119,586,836.60","1,200,430"
,B92CQF3,Tri Pointe Homes Inc,TPH,<0.01%,Homebuilding,US,---,"$119,396,865.80","2,578,766"
,BV97X10,Galaxy Digital Inc,GLXY,<0.01%,Asset Management & Custody Banks,US,---,"$118,839,097.10","5,771,690"
,BMHL0Z4,WillScot Holdings Corp,WSC,<0.01%,Construction & Engineering,US,---,"$118,737,981.85","5,494,585"
,2451918,ICU Medical Inc,ICUI,<0.01%,Health Care Supplies,US,---,"$118,633,097.78","787,841"
,BYX60M4,International Seaways Inc,INSW,<0.01%,Oil & Gas Storage & Transportation,US,---,"$118,441,991.85","1,568,145"
,2243911,International Bancshares Corp,IBOC,<0.01%,Regional Banks,US,---,"$118,345,397.94","1,763,454"
,B00V7H8,Assured Guaranty Ltd,AGO,<0.01%,Property & Casualty Insurance,US,---,"$118,128,821.45","1,370,245"
,2356585,Fulton Financial Corp,FULT,<0.01%,Regional Banks,US,---,"$117,925,763.45","5,766,541"
,2048592,American Eagle Outfitters Inc,AEO,<0.01%,Apparel Retail,US,---,"$117,860,004.99","4,796,907"
,2657750,CNO Financial Group Inc,CNO,<0.01%,Life & Health Insurance,US,---,"$117,742,980.64","2,816,144"
,BMD2S79,Ondas Inc,ONDS,<0.01%,Communications Equipment,US,---,"$117,553,695.84","11,662,073"
,BF1GM16,Cactus Inc. Class A,WHD,<0.01%,Oil & Gas Equipment & Services,US,---,"$117,465,120.00","2,175,280"
,2501578,Ligand Pharmaceuticals Inc,LGND,<0.01%,Pharmaceuticals,US,---,"$117,203,391.41","591,011"
,BFRBX34,Vistance Networks Inc,VISN,<0.01%,Communications Equipment,US,---,"$116,986,576.98","6,658,314"
,2330318,Exponent Inc,EXPO,<0.01%,Research & Consulting Services,US,---,"$116,455,569.12","1,600,104"
,BV0LCR0,Shake Shack Inc,SHAK,<0.01%,Restaurants,US,---,"$116,250,924.21","1,210,821"
,BQQG1V1,Viking Therapeutics Inc,VKTX,<0.01%,Biotechnology,US,---,"$114,937,187.76","3,396,489"
,BJTJGC4,Kontoor Brands Inc,KTB,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$114,801,813.74","1,760,494"
,B2Q8249,Graphic Packaging Holding Co,GPK,<0.01%,Paper & Plastic Packaging Products & Materials,US,---,"$114,696,107.57","9,378,259"
,BPG82M8,Symbotic Inc,SYM,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$114,680,834.40","2,093,480"
,BNSP0B8,ImmunityBio Inc,IBRX,<0.01%,Biotechnology,US,---,"$113,990,271.66","11,655,447"
,2101967,SLM Corp,SLM,<0.01%,Consumer Finance,US,---,"$113,955,503.80","6,080,870"
,2578293,Lennar Corp,LEN/B,<0.01%,Homebuilding,US,---,"$113,810,468.20","1,066,340"
,2463344,Griffon Corp,GFF,<0.01%,Building Products,US,---,"$113,654,754.00","1,333,350"
,2756152,COPT Defense Properties,CDP,<0.01%,Office REITs,US,---,"$113,602,059.20","3,574,640"
,2670809,Renasant Corp,RNST,<0.01%,Regional Banks,US,---,"$113,587,941.60","3,016,944"
,2158781,Cal-Maine Foods Inc,CALM,<0.01%,Packaged Foods & Meats,US,---,"$113,528,285.25","1,303,275"
,BPH0546,Life Time Group Holdings Inc,LTH,<0.01%,Leisure Facilities,US,---,"$113,405,157.00","4,200,191"
,2549385,M/I Homes Inc,MHO,<0.01%,Homebuilding,US,---,"$113,200,159.92","796,287"
,2354664,HB Fuller Co,FUL,<0.01%,Specialty Chemicals,US,---,"$112,834,142.24","1,716,892"
,BP4CXL8,CCC Intelligent Solutions Holdings Inc,CCC,<0.01%,Application Software,US,---,"$112,629,950.73","19,319,031"
,2655583,Oceaneering International Inc,OII,<0.01%,Oil & Gas Equipment & Services,US,---,"$112,329,455.00","3,164,210"
,2664103,Otter Tail Corp,OTTR,<0.01%,Electric Utilities,US,---,"$112,310,725.00","1,319,750"
,BNLYBF3,Erasca Inc,ERAS,<0.01%,Biotechnology,US,---,"$112,181,602.56","8,212,416"
,B9NSBM2,ADMA Biologics Inc,ADMA,<0.01%,Biotechnology,US,---,"$112,107,799.08","7,200,244"
,BJN4N02,Parsons Corp,PSN,<0.01%,Research & Consulting Services,US,---,"$112,056,582.00","1,697,827"
,B3NNTZ4,BankUnited Inc,BKU,<0.01%,Regional Banks,US,---,"$111,907,350.10","2,396,303"
,2495529,Kilroy Realty Corp,KRC,<0.01%,Office REITs,US,---,"$111,804,185.64","3,749,302"
,BN93088,Broadstone Net Lease Inc,BNL,<0.01%,Diversified REITs,US,---,"$111,232,150.47","5,736,573"
,2485070,KB Home,KBH,<0.01%,Homebuilding,US,---,"$111,030,008.32","1,746,304"
,BM9HHL5,Apogee Therapeutics Inc,APGE,<0.01%,Biotechnology,US,---,"$110,906,670.00","1,584,381"
,BLD5321,Stride Inc,LRN,<0.01%,Education Services,US,---,"$110,855,068.80","1,313,760"
,BMTVT22,Gitlab Inc,GTLB,<0.01%,Systems Software,US,---,"$110,298,412.80","4,193,856"
,BLFDXF6,StepStone Group Inc,STEP,<0.01%,Asset Management & Custody Banks,US,---,"$110,113,900.92","2,552,478"
,BMGNTQ5,Lemonade Inc,LMND,<0.01%,Property & Casualty Insurance,US,---,"$110,032,664.04","2,126,646"
,BNSNZQ2,Leonardo DRS Inc,DRS,<0.01%,Aerospace & Defense,US,---,"$109,958,547.49","2,534,191"
,BRJTVC5,BGC Group Inc,BGC,<0.01%,Investment Banking & Brokerage,US,---,"$109,742,399.76","11,527,563"
,B0PZN33,Brookdale Senior Living Inc,BKD,<0.01%,Health Care Facilities,US,---,"$109,621,455.30","7,164,801"
,BF429K9,Brighthouse Financial Inc,BHF,<0.01%,Life & Health Insurance,US,---,"$108,449,118.24","1,808,088"
,BYNWB63,PJT Partners Inc,PJT,<0.01%,Investment Banking & Brokerage,US,---,"$108,106,338.08","732,031"
,BGR7KH2,YETI Holdings Inc,YETI,<0.01%,Leisure Products,US,---,"$107,592,252.42","2,461,502"
,2296926,First BanCorp/Puerto Rico,FBP,<0.01%,Regional Banks,US,---,"$107,390,118.89","5,082,353"
,BN0TQF4,Zeta Global Holdings Corp,ZETA,<0.01%,Application Software,US,---,"$107,347,367.10","6,333,178"
,2940375,WSFS Financial Corp,WSFS,<0.01%,Regional Banks,US,---,"$107,333,868.81","1,690,031"
,2466428,UniFirst Corp/MA,UNF,<0.01%,Diversified Support Services,US,---,"$107,148,835.64","456,302"
,2681760,Tutor Perini Corp,TPC,<0.01%,Construction & Engineering,US,---,"$107,071,149.59","1,420,607"
,BGM1B98,Graham Holdings Co,GHC,<0.01%,Education Services,US,---,"$106,881,857.22","101,482"
,BLR7B52,MARA Holdings Inc,MARA,<0.01%,Application Software,US,---,"$106,870,181.46","11,954,159"
,BZ12TX5,Covista Inc,CVSA,<0.01%,Education Services,US,---,"$106,791,482.00","1,089,709"
,2953782,WesBanco Inc,WSBC,<0.01%,Regional Banks,US,---,"$106,734,838.32","3,060,936"
,BQXKDH6,Centrus Energy Corp,LEU,<0.01%,Coal & Consumable Fuels,US,---,"$106,657,962.48","526,472"
,BDFGDQ0,Tidewater Inc,TDW,<0.01%,Oil & Gas Equipment & Services,US,---,"$106,486,018.32","1,340,796"
,BZ0P3Z5,TEGNA Inc,TGNA,<0.01%,Broadcasting,US,---,"$106,326,717.95","5,075,261"
,BWTVWD4,Virtu Financial Inc,VIRT,<0.01%,Investment Banking & Brokerage,US,---,"$105,971,047.29","2,559,069"
,BYYGJZ9,Impinj Inc,PI,<0.01%,Semiconductors,US,---,"$105,661,286.56","861,416"
,B7XJTN8,Qualys Inc,QLYS,<0.01%,Systems Software,US,---,"$105,650,858.74","1,142,542"
,BRYQ4L1,Enova International Inc,ENVA,<0.01%,Consumer Finance,US,---,"$105,551,186.40","759,088"
,BLDBS68,SoundHound AI Inc,SOUN,<0.01%,Application Software,US,---,"$105,537,437.00","12,271,795"
,B0650P3,Prestige Consumer Healthcare Inc,PBH,<0.01%,Pharmaceuticals,US,---,"$105,215,695.20","1,518,264"
,BJYLZK6,Palomar Holdings Inc,PLMR,<0.01%,Property & Casualty Insurance,US,---,"$105,081,377.07","849,417"
,B011WL6,Genworth Financial Inc,GNW,<0.01%,Life & Health Insurance,US,---,"$105,058,925.60","12,447,740"
,BMFQC33,Hayward Holdings Inc,HAYW,<0.01%,Building Products,US,---,"$104,988,576.00","6,561,786"
,2942605,Avista Corp,AVA,<0.01%,Multi-Utilities,US,---,"$104,591,747.46","2,574,883"
,B3V9F12,PVH Corp,PVH,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$104,482,464.80","1,523,068"
,BL9XML1,Perimeter Solutions Inc,PRM,<0.01%,Specialty Chemicals,US,---,"$104,046,125.68","4,431,266"
,2386849,Korn Ferry,KFY,<0.01%,Human Resource & Employment Services,US,---,"$104,009,262.78","1,659,634"
,2264235,Cathay General Bancorp,CATY,<0.01%,Regional Banks,US,---,"$103,644,852.90","2,084,990"
,2692933,Polaris Inc,PII,<0.01%,Leisure Products,US,---,"$103,638,110.92","1,706,258"
,BRRD6G8,NCR Atleos Corp,NATL,<0.01%,Transaction & Payment Processing Services,US,---,"$103,460,662.80","2,336,510"
,2718594,Dorman Products Inc,DORM,<0.01%,Automotive Parts & Equipment,US,---,"$102,855,007.68","872,688"
,BVB3BV2,Box Inc,BOX,<0.01%,Application Software,US,---,"$102,474,080.55","4,351,341"
,BNKVRZ7,Sotera Health Co,SHC,<0.01%,Life Sciences Tools & Services,US,---,"$102,457,663.75","6,305,087"
,BND7X43,Gulfport Energy Corp,GPOR,<0.01%,Oil & Gas Exploration & Production,US,---,"$102,220,447.40","489,890"
,2222062,Community Financial System Inc,CBU,<0.01%,Regional Banks,US,---,"$101,967,289.90","1,684,018"
,2190750,Chesapeake Utilities Corp,CPK,<0.01%,Gas Utilities,US,---,"$101,872,531.16","749,228"
,2944742,WD-40 Co,WDFC,<0.01%,Household Products,US,---,"$101,825,974.20","427,481"
,2149622,Materion Corp,MTRN,<0.01%,Diversified Metals & Mining,US,---,"$101,824,936.78","624,463"
,BMD22Y4,Doximity Inc,DOCS,<0.01%,Health Care Technology,US,---,"$101,471,999.97","4,136,649"
,2822019,Advance Auto Parts Inc,AAP,<0.01%,Automotive Retail,US,---,"$101,420,179.90","1,907,470"
,B00SCY1,Corcept Therapeutics Inc,CORT,<0.01%,Pharmaceuticals,US,---,"$101,315,707.50","2,837,975"
,BM8MM05,Sphere Entertainment Co,SPHR,<0.01%,Movies & Entertainment,US,---,"$101,218,243.02","850,502"
,2840174,Standex International Corp,SXI,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$100,687,124.00","384,302"
,2420101,Helmerich & Payne Inc,HP,<0.01%,Oil & Gas Drilling,US,---,"$100,600,823.10","2,856,355"
,2503206,Marzetti Company/The,MZTI,<0.01%,Packaged Foods & Meats,US,---,"$100,503,934.74","611,561"
,BRJMM32,Globalstar Inc,GSAT,<0.01%,Alternative Carriers,US,---,"$100,022,931.06","1,606,278"
,2270500,Diodes Inc,DIOD,<0.01%,Semiconductors,US,---,"$99,914,715.63","1,464,381"
,BMC73Z8,QuantumScape Corp,QS,<0.01%,Automotive Parts & Equipment,US,---,"$98,646,807.48","14,255,319"
,2713317,ACADIA Pharmaceuticals Inc,ACAD,<0.01%,Biotechnology,US,---,"$98,505,002.40","4,010,790"
,BQ3R8B6,Cushman & Wakefield Ltd,CWK,<0.01%,Real Estate Services,US,---,"$98,494,451.91","7,344,851"
,B94QHZ0,Blackstone Mortgage Trust Inc,BXMT,<0.01%,Mortgage REITs,US,---,"$98,477,433.23","5,126,363"
,BDC6HG1,First Hawaiian Inc,FHB,<0.01%,Regional Banks,US,---,"$97,850,504.84","3,951,959"
,BH65L93,Seacoast Banking Corp of Florida,SBCF,<0.01%,Regional Banks,US,---,"$97,595,587.60","3,136,105"
,2488121,Kennametal Inc,KMT,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$97,525,210.96","2,421,182"
,B4RGHN0,First Interstate BancSystem Inc,FIBK,<0.01%,Regional Banks,US,---,"$97,482,491.39","2,816,599"
,2698782,IPG Photonics Corp,IPGP,<0.01%,Electronic Manufacturing Services,US,---,"$97,370,615.19","740,067"
,BYQ44Y5,LCI Industries,LCII,<0.01%,Automotive Parts & Equipment,US,---,"$97,198,970.40","729,722"
,B3S4L67,Calix Inc,CALX,<0.01%,Communications Equipment,US,---,"$97,133,410.73","1,876,249"
,BSS6HY8,Workiva Inc. Class A,WK,<0.01%,Application Software,US,---,"$96,842,309.08","1,572,626"
,2672537,Patterson-UTI Energy Inc,PTEN,<0.01%,Oil & Gas Drilling,US,---,"$96,820,771.94","11,377,294"
,B9BP4R1,Boise Cascade Co,BCC,<0.01%,Trading Companies & Distributors,US,---,"$96,790,493.10","1,169,815"
